zone,egg_color,egg_size,retail_price_clp_per_dozen,month,ratio_used,wholesale_backfilled,months_n,publish_ok
Región Metropolitana de Santiago,blanco,L,18210.0,2014-01,0.85,15478.5,141,True
Región Metropolitana de Santiago,blanco,L,18427.86,2014-02,0.85,15663.681,141,True
Región Metropolitana de Santiago,blanco,L,18442.74,2014-03,0.85,15676.329000000002,141,True
Región Metropolitana de Santiago,blanco,L,18460.800000000003,2014-04,0.85,15691.680000000002,141,True
Región Metropolitana de Santiago,blanco,L,18502.92,2014-05,0.85,15727.481999999998,141,True
Región Metropolitana de Santiago,blanco,L,18840.78,2014-06,0.85,16014.662999999999,141,True
Región Metropolitana de Santiago,blanco,L,19390.44,2014-07,0.85,16481.874,141,True
Región Metropolitana de Santiago,blanco,L,19621.2,2014-08,0.85,16678.02,141,True
Región Metropolitana de Santiago,blanco,L,19302.18,2014-09,0.85,16406.853,141,True
Región Metropolitana de Santiago,blanco,L,19643.28,2014-10,0.85,16696.787999999997,141,True
Región Metropolitana de Santiago,blanco,L,19989.66,2014-11,0.85,16991.211,141,True
Región Metropolitana de Santiago,blanco,L,20451.6,2014-12,0.85,17383.859999999997,141,True
Región Metropolitana de Santiago,blanco,L,20084.1,2015-01,0.85,17071.484999999997,141,True
Región Metropolitana de Santiago,blanco,L,19857.18,2015-02,0.85,16878.603,141,True
Región Metropolitana de Santiago,blanco,L,19904.22,2015-03,0.85,16918.587,141,True
Región Metropolitana de Santiago,blanco,L,20169.0,2015-04,0.85,17143.649999999998,141,True
Región Metropolitana de Santiago,blanco,L,20358.06,2015-05,0.85,17304.351000000002,141,True
Región Metropolitana de Santiago,blanco,L,21326.76,2015-06,0.85,18127.746,141,True
Región Metropolitana de Santiago,blanco,L,22896.0,2015-07,0.85,19461.6,141,True
Región Metropolitana de Santiago,blanco,L,22567.44,2015-08,0.85,19182.323999999997,141,True
Región Metropolitana de Santiago,blanco,L,21769.56,2015-09,0.85,18504.126,141,True
Región Metropolitana de Santiago,blanco,L,21615.3,2015-10,0.85,18373.004999999997,141,True
Región Metropolitana de Santiago,blanco,L,21599.52,2015-11,0.85,18359.592,141,True
Región Metropolitana de Santiago,blanco,L,21708.0,2015-12,0.85,18451.8,141,True
Región Metropolitana de Santiago,blanco,L,21565.53,2016-01,0.85,18330.7005,141,True
Región Metropolitana de Santiago,blanco,L,21676.939998,2016-02,0.85,18425.3989983,141,True
Región Metropolitana de Santiago,blanco,L,21849.6,2016-03,0.85,18572.16,141,True
Región Metropolitana de Santiago,blanco,L,21685.62,2016-04,0.85,18432.777,141,True
Región Metropolitana de Santiago,blanco,L,21643.5,2016-05,0.85,18396.975,141,True
Región Metropolitana de Santiago,blanco,L,21343.68,2016-06,0.85,18142.128,141,True
