month,zone,egg_color,egg_size,forecast_docena,p10,p90,method
2025-10,Región Metropolitana de Santiago,blanco,L,1942.0190899520396,1307.992476345285,2494.098658707452,direct
2025-11,Región Metropolitana de Santiago,blanco,L,1994.5773064846485,1360.550692877894,2546.656875240061,direct
2025-10,Región Metropolitana de Santiago,blanco,M,1942.3379412541608,1144.4660791131303,2465.94006544028,direct
2025-11,Región Metropolitana de Santiago,blanco,M,1995.04000468101,1197.1681425399795,2518.642128867129,direct
2025-10,Región Metropolitana de Santiago,blanco,S,1942.3379412541608,1144.4660791131303,2465.94006544028,direct
2025-11,Región Metropolitana de Santiago,blanco,S,1995.04000468101,1197.1681425399795,2518.642128867129,direct
2025-10,Región Metropolitana de Santiago,blanco,XL,1942.0190899520396,1307.992476345285,2494.098658707452,direct
2025-11,Región Metropolitana de Santiago,blanco,XL,1994.5773064846485,1360.550692877894,2546.656875240061,direct
2025-10,Región Metropolitana de Santiago,color,L,1937.4927707761562,1277.4328056877775,2440.6910092742114,direct
2025-11,Región Metropolitana de Santiago,color,L,1994.802041308837,1334.7420762204583,2498.000279806892,direct
2025-10,Región Metropolitana de Santiago,color,M,1937.8064627148349,1095.9407440406635,2412.988052900289,direct
2025-11,Región Metropolitana de Santiago,color,M,1995.2572525413902,1153.3915338672186,2470.4388427268445,direct
2025-10,Región Metropolitana de Santiago,color,S,1937.8064627148349,1095.9407440406635,2412.988052900289,direct
2025-11,Región Metropolitana de Santiago,color,S,1995.2572525413902,1153.3915338672186,2470.4388427268445,direct
2025-10,Región Metropolitana de Santiago,color,XL,1937.456664573936,1282.4142215787979,2443.879642521047,direct
2025-11,Región Metropolitana de Santiago,color,XL,1994.7496461185597,1339.7072031234216,2501.172624065671,direct
