month;zone;egg_color;egg_size;n;p50;p10;p90;coverage_ok;p50_zona_color;p50_shrunk
2020-09;Región Metropolitana de Santiago;blanco;L;1;958,0;958,0;958,0;False;953,0;975,0
2020-09;Región Metropolitana de Santiago;blanco;M;1;948,0;948,0;948,0;False;953,0;975,0
2020-09;Región Metropolitana de Santiago;blanco;S;1;938,0;938,0;938,0;False;953,0;975,0
2020-09;Región Metropolitana de Santiago;blanco;XL;1;1109,0;1109,0;1109,0;False;953,0;975,0
2020-09;Región Metropolitana de Santiago;color;L;1;1018,0;1018,0;1018,0;False;993,0;1020,0
2020-09;Región Metropolitana de Santiago;color;M;1;968,0;968,0;968,0;False;993,0;1020,0
2020-09;Región Metropolitana de Santiago;color;S;1;948,0;948,0;948,0;False;993,0;1020,0
2020-09;Región Metropolitana de Santiago;color;XL;1;1180,0;1180,0;1180,0;False;993,0;1020,0
2020-11;Región Metropolitana de Santiago;blanco;L;1;720,0;720,0;720,0;False;702,0;723,0
2020-11;Región Metropolitana de Santiago;blanco;M;1;684,0;684,0;684,0;False;702,0;723,0
2020-11;Región Metropolitana de Santiago;blanco;S;1;672,0;672,0;672,0;False;702,0;723,0
2020-11;Región Metropolitana de Santiago;blanco;XL;1;852,0;852,0;852,0;False;702,0;723,0
2020-11;Región Metropolitana de Santiago;color;L;1;780,0;780,0;780,0;False;732,0;754,0
2020-11;Región Metropolitana de Santiago;color;M;1;684,0;684,0;684,0;False;732,0;754,0
2020-11;Región Metropolitana de Santiago;color;S;1;672,0;672,0;672,0;False;732,0;754,0
2020-11;Región Metropolitana de Santiago;color;XL;1;888,0;888,0;888,0;False;732,0;754,0
2021-01;Región Metropolitana de Santiago;blanco;L;1;612,0;612,0;612,0;False;2484,0;2222,0
2021-01;Región Metropolitana de Santiago;blanco;M;1;5160,0;5160,0;5160,0;False;2484,0;2866,0
2021-01;Región Metropolitana de Santiago;blanco;S;1;4320,0;4320,0;4320,0;False;2484,0;2866,0
2021-01;Región Metropolitana de Santiago;blanco;XL;1;648,0;648,0;648,0;False;2484,0;2222,0
2021-01;Región Metropolitana de Santiago;color;L;1;5880,0;5880,0;5880,0;False;4500,0;4697,0
2021-01;Región Metropolitana de Santiago;color;M;1;4920,0;4920,0;4920,0;False;4500,0;4697,0
