month;zone;egg_color;egg_size;n;p50;p10;p90;coverage_ok;p50_zona_color;p50_shrunk;retail_price_clp_per_dozen;retail_mz;retail_filled;ratio_used;ratio_used_source;wholesale_imputed;delta_vs_imputed_pct
2020-09;Región Metropolitana de Santiago;blanco;L;1;958,0;958,0;958,0;False;953,0;975,0;2032,0;2065,0;2032,0;1,0;ratio_exact;1136,0;-14,0
2020-09;Región Metropolitana de Santiago;blanco;M;1;948,0;948,0;948,0;False;953,0;975,0;;2065,0;2065,0;1,0;ratio_exact;1037,0;-6,0
2020-09;Región Metropolitana de Santiago;blanco;S;1;938,0;938,0;938,0;False;953,0;975,0;;2065,0;2065,0;0,0;ratio_exact;949,0;3,0
2020-09;Región Metropolitana de Santiago;blanco;XL;1;1109,0;1109,0;1109,0;False;953,0;975,0;;2065,0;2065,0;1,0;ratio_exact;1228,0;-21,0
2020-09;Región Metropolitana de Santiago;color;L;1;1018,0;1018,0;1018,0;False;993,0;1020,0;2098,0;2065,0;2098,0;1,0;ratio_exact;1146,0;-11,0
2020-09;Región Metropolitana de Santiago;color;M;1;968,0;968,0;968,0;False;993,0;1020,0;;2065,0;2065,0;1,0;ratio_exact;1052,0;-3,0
2020-09;Región Metropolitana de Santiago;color;S;1;948,0;948,0;948,0;False;993,0;1020,0;;2065,0;2065,0;0,0;ratio_exact;943,0;8,0
2020-09;Región Metropolitana de Santiago;color;XL;1;1180,0;1180,0;1180,0;False;993,0;1020,0;;2065,0;2065,0;1,0;ratio_exact;1254,0;-19,0
2020-11;Región Metropolitana de Santiago;blanco;L;1;720,0;720,0;720,0;False;702,0;723,0;2014,0;2062,0;2014,0;1,0;ratio_exact;1127,0;-36,0
2020-11;Región Metropolitana de Santiago;blanco;M;1;684,0;684,0;684,0;False;702,0;723,0;;2062,0;2062,0;1,0;ratio_exact;1036,0;-30,0
2020-11;Región Metropolitana de Santiago;blanco;S;1;672,0;672,0;672,0;False;702,0;723,0;;2062,0;2062,0;0,0;ratio_exact;948,0;-24,0
2020-11;Región Metropolitana de Santiago;blanco;XL;1;852,0;852,0;852,0;False;702,0;723,0;;2062,0;2062,0;1,0;ratio_exact;1226,0;-41,0
2020-11;Región Metropolitana de Santiago;color;L;1;780,0;780,0;780,0;False;732,0;754,0;2109,0;2062,0;2109,0;1,0;ratio_exact;1152,0;-35,0
2020-11;Región Metropolitana de Santiago;color;M;1;684,0;684,0;684,0;False;732,0;754,0;;2062,0;2062,0;1,0;ratio_exact;1050,0;-28,0
2020-11;Región Metropolitana de Santiago;color;S;1;672,0;672,0;672,0;False;732,0;754,0;;2062,0;2062,0;0,0;ratio_exact;942,0;-20,0
2020-11;Región Metropolitana de Santiago;color;XL;1;888,0;888,0;888,0;False;732,0;754,0;;2062,0;2062,0;1,0;ratio_exact;1252,0;-40,0
2021-01;Región Metropolitana de Santiago;blanco;L;1;612,0;612,0;612,0;False;2484,0;2222,0;1979,0;2026,0;1979,0;1,0;ratio_exact;1107,0;101,0
2021-01;Región Metropolitana de Santiago;blanco;M;1;5160,0;5160,0;5160,0;False;2484,0;2866,0;;2026,0;2026,0;1,0;ratio_exact;1018,0;182,0
2021-01;Región Metropolitana de Santiago;blanco;S;1;4320,0;4320,0;4320,0;False;2484,0;2866,0;;2026,0;2026,0;0,0;ratio_exact;932,0;208,0
2021-01;Región Metropolitana de Santiago;blanco;XL;1;648,0;648,0;648,0;False;2484,0;2222,0;;2026,0;2026,0;1,0;ratio_exact;1205,0;84,0
2021-01;Región Metropolitana de Santiago;color;L;1;5880,0;5880,0;5880,0;False;4500,0;4697,0;2073,0;2026,0;2073,0;1,0;ratio_exact;1133,0;315,0
2021-01;Región Metropolitana de Santiago;color;M;1;4920,0;4920,0;4920,0;False;4500,0;4697,0;;2026,0;2026,0;1,0;ratio_exact;1032,0;355,0
2021-01;Región Metropolitana de Santiago;color;S;1;4080,0;4080,0;4080,0;False;4500,0;4697,0;;2026,0;2026,0;0,0;ratio_exact;926,0;407,0
2021-01;Región Metropolitana de Santiago;color;XL;1;864,0;864,0;864,0;False;4500,0;3981,0;;2026,0;2026,0;1,0;ratio_exact;1231,0;223,0
2021-07;Región Metropolitana de Santiago;blanco;L;1;840,0;840,0;840,0;False;780,0;809,0;2033,0;2087,0;2033,0;1,0;ratio_exact;1137,0;-29,0
2021-07;Región Metropolitana de Santiago;blanco;M;1;720,0;720,0;720,0;False;780,0;809,0;;2087,0;2087,0;1,0;ratio_exact;1049,0;-23,0
2021-07;Región Metropolitana de Santiago;blanco;S;1;696,0;696,0;696,0;False;780,0;809,0;;2087,0;2087,0;0,0;ratio_exact;960,0;-16,0
2021-07;Región Metropolitana de Santiago;blanco;XL;1;984,0;984,0;984,0;False;780,0;809,0;;2087,0;2087,0;1,0;ratio_exact;1241,0;-35,0
2021-07;Región Metropolitana de Santiago;color;L;1;1032,0;1032,0;1032,0;False;906,0;945,0;2142,0;2087,0;2142,0;1,0;ratio_exact;1170,0;-19,0
2021-07;Región Metropolitana de Santiago;color;M;1;780,0;780,0;780,0;False;906,0;945,0;;2087,0;2087,0;1,0;ratio_exact;1064,0;-11,0
2021-07;Región Metropolitana de Santiago;color;S;1;696,0;696,0;696,0;False;906,0;945,0;;2087,0;2087,0;0,0;ratio_exact;953,0;-1,0
2021-07;Región Metropolitana de Santiago;color;XL;1;1176,0;1176,0;1176,0;False;906,0;945,0;;2087,0;2087,0;1,0;ratio_exact;1268,0;-25,0
2021-09;Región Metropolitana de Santiago;blanco;L;1;792,0;792,0;792,0;False;756,0;783,0;1941,0;2038,0;1941,0;1,0;ratio_exact;1086,0;-28,0
2021-09;Región Metropolitana de Santiago;blanco;M;1;720,0;720,0;720,0;False;756,0;783,0;;2038,0;2038,0;1,0;ratio_exact;1024,0;-23,0
2021-09;Región Metropolitana de Santiago;blanco;S;1;696,0;696,0;696,0;False;756,0;783,0;;2038,0;2038,0;0,0;ratio_exact;937,0;-16,0
2021-09;Región Metropolitana de Santiago;blanco;XL;1;948,0;948,0;948,0;False;756,0;783,0;;2038,0;2038,0;1,0;ratio_exact;1212,0;-35,0
2021-09;Región Metropolitana de Santiago;color;L;1;792,0;792,0;792,0;False;744,0;766,0;2136,0;2038,0;2136,0;1,0;ratio_exact;1167,0;-34,0
2021-09;Región Metropolitana de Santiago;color;M;1;696,0;696,0;696,0;False;744,0;766,0;;2038,0;2038,0;1,0;ratio_exact;1039,0;-26,0
2021-09;Región Metropolitana de Santiago;color;S;1;672,0;672,0;672,0;False;744,0;766,0;;2038,0;2038,0;0,0;ratio_exact;931,0;-18,0
2021-09;Región Metropolitana de Santiago;color;XL;1;900,0;900,0;900,0;False;744,0;766,0;;2038,0;2038,0;1,0;ratio_exact;1238,0;-38,0
2021-10;Región Metropolitana de Santiago;blanco;L;1;660,0;660,0;660,0;False;3234,0;2890,0;1970,0;2046,0;1970,0;1,0;ratio_exact;1102,0;162,0
2021-10;Región Metropolitana de Santiago;blanco;M;1;5880,0;5880,0;5880,0;False;3234,0;3612,0;;2046,0;2046,0;1,0;ratio_exact;1028,0;251,0
2021-10;Región Metropolitana de Santiago;blanco;S;1;5640,0;5640,0;5640,0;False;3234,0;3612,0;;2046,0;2046,0;0,0;ratio_exact;941,0;284,0
