date,zone,egg_color,egg_size,n,channels,unit_examples
2014-01-31,Región Metropolitana de Santiago,blanco,L,25,Supermercado,$/bandeja 12 unidades
2014-01-31,Región del Biobío,blanco,L,17,Supermercado,$/bandeja 12 unidades
2014-01-31,Región del Maule,blanco,L,8,Supermercado,$/bandeja 12 unidades
2014-02-28,Región Metropolitana de Santiago,blanco,L,20,Supermercado,$/bandeja 12 unidades
2014-02-28,Región del Biobío,blanco,L,16,Supermercado,$/bandeja 12 unidades
2014-02-28,Región del Maule,blanco,L,12,Supermercado,$/bandeja 12 unidades
2014-03-31,Región Metropolitana de Santiago,blanco,L,20,Supermercado,$/bandeja 12 unidades
2014-03-31,Región del Biobío,blanco,L,16,Supermercado,$/bandeja 12 unidades
2014-03-31,Región del Maule,blanco,L,12,Supermercado,$/bandeja 12 unidades
2014-04-30,Región Metropolitana de Santiago,blanco,L,25,Supermercado,$/bandeja 12 unidades
2014-04-30,Región del Biobío,blanco,L,19,Supermercado,$/bandeja 12 unidades
2014-04-30,Región del Maule,blanco,L,14,Supermercado,$/bandeja 12 unidades
2014-05-31,Región Metropolitana de Santiago,blanco,L,20,Supermercado,$/bandeja 12 unidades
2014-05-31,Región Metropolitana de Santiago,color,L,5,Supermercado,$/bandeja 12 unidades
2014-05-31,Región del Biobío,blanco,L,16,Supermercado,$/bandeja 12 unidades
2014-05-31,Región del Biobío,color,L,2,Supermercado,$/bandeja 12 unidades
2014-05-31,Región del Maule,blanco,L,12,Supermercado,$/bandeja 12 unidades
2014-06-30,Región Metropolitana de Santiago,blanco,L,20,Supermercado,$/bandeja 12 unidades
2014-06-30,Región Metropolitana de Santiago,color,L,18,Supermercado,$/bandeja 12 unidades
2014-06-30,Región de Coquimbo,blanco,L,12,Supermercado,$/bandeja 12 unidades
2014-06-30,Región de Coquimbo,color,L,12,Supermercado,$/bandeja 12 unidades
2014-06-30,Región del Biobío,blanco,L,16,Supermercado,$/bandeja 12 unidades
2014-06-30,Región del Biobío,color,L,13,Supermercado,$/bandeja 12 unidades
2014-06-30,Región del Maule,blanco,L,12,Supermercado,$/bandeja 12 unidades
2014-06-30,Región del Maule,color,L,12,Supermercado,$/bandeja 12 unidades
2014-07-31,Región Metropolitana de Santiago,blanco,L,25,Supermercado,$/bandeja 12 unidades
2014-07-31,Región Metropolitana de Santiago,color,L,25,Supermercado,$/bandeja 12 unidades
2014-07-31,Región de Coquimbo,blanco,L,15,Supermercado,$/bandeja 12 unidades
2014-07-31,Región de Coquimbo,color,L,15,Supermercado,$/bandeja 12 unidades
2014-07-31,Región de Valparaíso,blanco,L,12,Supermercado,$/bandeja 12 unidades
2014-07-31,Región de Valparaíso,color,L,12,Supermercado,$/bandeja 12 unidades
2014-07-31,Región del Biobío,blanco,L,19,Supermercado,$/bandeja 12 unidades
2014-07-31,Región del Biobío,color,L,17,Supermercado,$/bandeja 12 unidades
2014-07-31,Región del Maule,blanco,L,15,Supermercado,$/bandeja 12 unidades
