date,zone,egg_color,egg_size,retail_price_clp_per_dozen
2014-01-31,Región Metropolitana de Santiago,blanco,L,1517.5
2014-01-31,Región del Biobío,blanco,L,1498.55
2014-01-31,Región del Maule,blanco,L,1530.0500000000002
2014-02-28,Región Metropolitana de Santiago,blanco,L,1535.655
2014-02-28,Región del Biobío,blanco,L,1522.6100000000001
2014-02-28,Región del Maule,blanco,L,1546.2649999999999
2014-03-31,Región Metropolitana de Santiago,blanco,L,1536.895
2014-03-31,Región del Biobío,blanco,L,1549.9050000000002
2014-03-31,Región del Maule,blanco,L,1560.875
2014-04-30,Región Metropolitana de Santiago,blanco,L,1538.4
2014-04-30,Región del Biobío,blanco,L,1536.5
2014-04-30,Región del Maule,blanco,L,1566.145
2014-05-31,Región Metropolitana de Santiago,blanco,L,1541.91
2014-05-31,Región Metropolitana de Santiago,color,L,1590.0
2014-05-31,Región del Biobío,blanco,L,1554.3
2014-05-31,Región del Biobío,color,L,1731.25
2014-05-31,Región del Maule,blanco,L,1561.52
2014-06-30,Región Metropolitana de Santiago,blanco,L,1570.065
2014-06-30,Región Metropolitana de Santiago,color,L,1654.035
2014-06-30,Región de Coquimbo,blanco,L,1608.835
2014-06-30,Región de Coquimbo,color,L,1730.135
2014-06-30,Región del Biobío,blanco,L,1581.44
2014-06-30,Región del Biobío,color,L,1677.87
2014-06-30,Región del Maule,blanco,L,1560.27
2014-06-30,Región del Maule,color,L,1685.665
2014-07-31,Región Metropolitana de Santiago,blanco,L,1615.87
2014-07-31,Región Metropolitana de Santiago,color,L,1711.1
2014-07-31,Región de Coquimbo,blanco,L,1769.0
2014-07-31,Región de Coquimbo,color,L,1761.75
2014-07-31,Región de Valparaíso,blanco,L,1631.3000000000002
2014-07-31,Región de Valparaíso,color,L,1749.755
2014-07-31,Región del Biobío,blanco,L,1627.86
2014-07-31,Región del Biobío,color,L,1751.91
2014-07-31,Región del Maule,blanco,L,1642.44
2014-07-31,Región del Maule,color,L,1734.78
2014-08-31,Región Metropolitana de Santiago,blanco,L,1635.1
2014-08-31,Región Metropolitana de Santiago,color,L,1710.04
2014-08-31,Región de Coquimbo,blanco,L,1756.225
2014-08-31,Región de Coquimbo,color,L,1767.79
2014-08-31,Región de La Araucanía,blanco,L,1675.32
2014-08-31,Región de La Araucanía,color,L,1778.69
2014-08-31,Región de Los Lagos,blanco,L,1671.045
2014-08-31,Región de Los Lagos,color,L,1779.68
2014-08-31,Región de Valparaíso,blanco,L,1657.3899999999999
2014-08-31,Región de Valparaíso,color,L,1753.5500000000002
2014-08-31,Región del Biobío,blanco,L,1681.53
2014-08-31,Región del Biobío,color,L,1776.45
2014-08-31,Región del Maule,blanco,L,1675.085
2014-08-31,Región del Maule,color,L,1759.625
2014-09-30,Región Metropolitana de Santiago,blanco,L,1608.5149999999999
2014-09-30,Región Metropolitana de Santiago,color,L,1706.56
2014-09-30,Región de Coquimbo,blanco,L,1754.97
2014-09-30,Región de Coquimbo,color,L,1779.21
2014-09-30,Región de La Araucanía,blanco,L,1695.76
2014-09-30,Región de La Araucanía,color,L,1792.1350000000002
