date,zone,egg_color,egg_size,source_name,source_url,unit,price_clp,includes_iva,includes_freight,freight_clp,is_promo,notes
2025-09-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2460.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,2040.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1860.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,2460.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,color,L,anchor,,docena,2184.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,color,M,anchor,,docena,2004.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-09-30,Región Metropolitana de Santiago,color,S,anchor,,docena,1824.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2400.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2160.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1980.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1860.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,2460.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,color,L,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,color,M,anchor,,docena,2040.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-07-31,Región Metropolitana de Santiago,color,S,anchor,,docena,1860.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2340.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1980.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1860.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,2460.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,color,L,anchor,,docena,2280.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,color,M,anchor,,docena,2040.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-06-30,Región Metropolitana de Santiago,color,S,anchor,,docena,1920.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2400.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2280.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,2040.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,2520.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,color,L,anchor,,docena,2388.0,False,False,,False,from anchors (anchors_wholesale.csv)
2025-04-30,Región Metropolitana de Santiago,color,M,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
